target,src_fm,rule_label,zero_shot_pred,few_shot_pred
"@Test(expectedExceptions = ApiException.class, expectedExceptionsMessageRegExp = ""Current workspace location requires factory creator accountId to be set."") public void shouldNotValidateIfWorkspaceLocationOwnerButNotAuthor() throws ApiException { factory = factory.withWorkspace(dto.createDto(Workspace.class).withLocation(""owner"")).withCreator(null); validator.validateCreator(factory); }","protected void validateCreator(Factory factory) throws ApiException { final Workspace workspace = factory.getWorkspace(); if (workspace != null && ""owner"".equals(workspace.getLocation())) { String accountId = factory.getCreator() != null ? emptyToNull(factory.getCreator().getAccountId()) : null; if (accountId == null) { throw new ConflictException(""Current workspace location requires factory creator accountId to be set.""); } } }",CLEAN,CLEAN,CLEAN
"@Test public void projectTreeShouldBePersisted() { appStateManager.start(false); PersistProjectTreeStateEvent projectTreeStateEvent = mock(PersistProjectTreeStateEvent.class); verify(eventBus).addHandler(eq(PersistProjectTreeStateEvent.TYPE), projectTreeStateHandlerArgCaptor.capture()); projectTreeStateHandlerArgCaptor.getValue().onPersist(projectTreeStateEvent); verify(appContext).getCurrentProject(); verify(currentProject).getRootProject(); verify(rootProject).getPath(); verify(rootProject).getWorkspaceName(); verify(dtoFactory).createDto(ProjectState.class); verify(appState).getProjects(); verify(projectState).getActions(); verify(persistenceComponent).getActions(PROJECT_PATH); }","public void start(boolean openRecentProject) { eventBus.addHandler(WindowActionEvent.TYPE, this); eventBus.addHandler(ProjectActionEvent.TYPE, this); readStateFromPreferences(); openRecentProject(openRecentProject); }",CLEAN,NOISE,CLEAN
@Test public void createSerializableDropTableEvent() { DropTableEvent event = mockEvent(DropTableEvent.class); ApiaryListenerEvent serializableEvent = factory.create(event); assertCommon(serializableEvent); assertThat(serializableEvent.getEventType()).isSameAs(EventType.ON_DROP_TABLE); },public ApiaryCreateTableEvent create(CreateTableEvent event) { return new ApiaryCreateTableEvent(addParams(event)); },CLEAN,NOISE,NOISE
"@Test public void testConvertMILLIS() { assertEquals(year, new DurationConverter(ChronoUnit.MILLIS, ChronoUnit.YEARS).convert(millisecond), delta); assertEquals(month, new DurationConverter(ChronoUnit.MILLIS, ChronoUnit.MONTHS).convert(millisecond), delta); assertEquals(week, new DurationConverter(ChronoUnit.MILLIS, ChronoUnit.WEEKS).convert(millisecond), delta); assertEquals(day, new DurationConverter(ChronoUnit.MILLIS, ChronoUnit.DAYS).convert(millisecond), delta); assertEquals(hour, new DurationConverter(ChronoUnit.MILLIS, ChronoUnit.HOURS).convert(millisecond), delta); assertEquals(minute, new DurationConverter(ChronoUnit.MILLIS, ChronoUnit.MINUTES).convert(millisecond), delta); assertEquals(second, new DurationConverter(ChronoUnit.MILLIS, ChronoUnit.SECONDS).convert(millisecond), delta); assertEquals(millisecond, new DurationConverter(ChronoUnit.MILLIS, ChronoUnit.MILLIS).convert(millisecond), delta); }","public double convert(double value) { if (noNeedConvert(value)) { return value; } double days = handleDays(value); return handleFinalResult(value, days); }",CLEAN,NOISE,NOISE
"@Test public void run() throws Exception { Path outputDirPath = new Path(tempFolder.getRoot().getPath()); PortBindings portBindings = new PortBindings(ImmutableMap.of(), ImmutableMap.of(""report"", outputDirPath)); Configuration conf = new Configuration(false); Map<String, String> parameters = ImmutableMap.of( ""report.group.firstParam"", ""11"", ""report.group.secondParam"", ""22"", ""notReportPrefixed.group.thirdParam"", ""3123""); reportGenerator.run(portBindings, conf, parameters); List<ReportEntry> actualReportEntries = AvroTestUtils.readLocalAvroDataStore(tempFolder.getRoot().getPath()); assertThat(actualReportEntries, containsInAnyOrder( new ReportEntry(""group.firstParam"", ReportEntryType.COUNTER, ""11""), new ReportEntry(""group.secondParam"", ReportEntryType.COUNTER, ""22""))); }","@Override public void run(PortBindings portBindings, Configuration conf, Map<String, String> parameters) throws Exception { Map<String, String> entriesToReport = collectEntriesToReport(parameters); List<ReportEntry> avroReport = convertToAvroReport(entriesToReport); FileSystem fs = FileSystem.get(conf); Path reportPath = portBindings.getOutput().get(REPORT_PORT_OUT_NAME); DataStore.create(avroReport, new FileSystemPath(fs, reportPath)); }",NOISE,CLEAN,CLEAN
"@Test public void testGetMetaBucket() throws TTException { List<List<Map.Entry<DumbKey, DumbValue>>> meta = CoreTestHelper .createTestMeta(mHolder); BucketReadTrxTest.testMeta(mHolder.getSession(), meta); IBucketWriteTrx wtx = mHolder.getSession().beginBucketWtx(); CoreTestHelper.checkStructure(meta.get(meta.size() - 1), wtx, false); wtx.commit(); assertTrue(wtx.close()); wtx = mHolder.getSession().beginBucketWtx(); assertEquals(0, wtx.getMetaBucket().size()); }","@Override public MetaBucket getMetaBucket() { checkState(!mDelegate.isClosed(), ""Transaction already closed""); return mNewMeta; }",NOISE,CLEAN,CLEAN
"@Test public void testGetMatchingWeight() { final double MATCH_THRESHOLD = 0.9; IRecordMatcher recMatcher1 = RecordMatcherFactory.createMatcher(RecordMatcherType.simpleVSRMatcher, ATTRIBUTEMATCHERALGORITHMS, ATTRIBUTEWEIGHTS_1); recMatcher1.setRecordMatchThreshold(MATCH_THRESHOLD); List<List<Double>> matcherWeigths = computeWeights(recMatcher1); CombinedRecordMatcher combMatcher1 = RecordMatcherFactory.createCombinedRecordMatcher(); assertTrue(combMatcher1.add(recMatcher1)); List<List<Double>> combinedMatcherWeigths = computeWeights(combMatcher1); System.out.println(combMatcher1); compare(matcherWeigths, combinedMatcherWeigths); int nbMatch1 = countMatches(matcherWeigths); IRecordMatcher recMatcher2 = RecordMatcherFactory.createMatcher(RecordMatcherType.simpleVSRMatcher, ATTRIBUTEMATCHERALGORITHMS, ATTRIBUTEWEIGHTS_2); recMatcher2.setRecordMatchThreshold(MATCH_THRESHOLD); matcherWeigths = computeWeights(recMatcher2); CombinedRecordMatcher combMatcher2 = RecordMatcherFactory.createCombinedRecordMatcher(); assertTrue(combMatcher2.add(recMatcher2)); System.out.println(combMatcher2); compare(matcherWeigths, computeWeights(combMatcher2)); int nbMatch2 = countMatches(matcherWeigths); assertNotSame(""The two matchers should not have the same match count"", nbMatch1, nbMatch2); IRecordMatcher recMatcher3 = RecordMatcherFactory.createMatcher(RecordMatcherType.simpleVSRMatcher, new String[] { ""DUMMY"", ""DUMMY"", ""DUMMY"", ""EXACT"" }, new double[] { 0, 0, 0, 1 }); recMatcher3.setRecordMatchThreshold(MATCH_THRESHOLD); matcherWeigths = computeWeights(recMatcher3); CombinedRecordMatcher combMatcher3 = RecordMatcherFactory.createCombinedRecordMatcher(); assertTrue(combMatcher3.add(recMatcher3)); System.out.println(combMatcher3); compare(matcherWeigths, computeWeights(combMatcher3)); int nbMatch3 = countMatches(matcherWeigths); assertNotSame(""The two matchers should not have the same match count. "" + nbMatch1, nbMatch1, nbMatch3); assertNotSame(""The two matchers should not have the same match count. "" + nbMatch2, nbMatch2, nbMatch3); CombinedRecordMatcher combMatcher = RecordMatcherFactory.createCombinedRecordMatcher(); assertTrue(combMatcher.add(recMatcher1)); assertTrue(combMatcher.add(recMatcher2)); assertTrue(combMatcher.add(recMatcher3)); System.out.println(combMatcher); int nbMatch = countMatches(combMatcher); assertEquals(true, nbMatch >= nbMatch1); assertEquals(true, nbMatch >= nbMatch2); assertEquals(true, nbMatch >= nbMatch3); CombinedRecordMatcher reverseCombMatcher = RecordMatcherFactory.createCombinedRecordMatcher(); assertTrue(reverseCombMatcher.add(recMatcher3)); assertTrue(reverseCombMatcher.add(recMatcher2)); assertTrue(reverseCombMatcher.add(recMatcher1)); System.out.println(reverseCombMatcher); int nbMatchReverse = countMatches(combMatcher); assertEquals(""The order of matcher should not change the number of matches"", nbMatch, nbMatchReverse); }","@Override public double getMatchingWeight(String[] record1, String[] record2) { double matchingWeight = 0; for (IRecordMatcher matcher : matchers) { double currentWeight = matcher.getMatchingWeight(record1, record2); if (currentWeight < matchingWeight) { continue; } lastPositiveMatcher = matcher; matchingWeight = currentWeight; if (matchingWeight >= matcher.getRecordMatchThreshold()) { return matchingWeight; } } return matchingWeight; }",NOISE,NOISE,CLEAN
"@Test public void hash_fallback_first_section() { OrganizationSection section1 = new OrganizationSection(OrgSectionType.UNKNOWN, new String[]{""unknown1""}, -1); OrganizationSection section2 = new OrganizationSection(OrgSectionType.UNKNOWN, new String[]{""unknown2""}, -1); OrganizationSection section3 = new OrganizationSection(OrgSectionType.UNKNOWN, new String[]{""unknown3""}, -1); String section1_hash = ""section1_hash""; when(sectionsSplitter.splitToSectionsDetailed(organizationName)).thenReturn(ImmutableList.of(section1, section2, section3)); when(sectionHasher.hash(section1)).thenReturn(section1_hash); String retHash = mainSectionBucketHasher.hash(organizationName); assertEquals(section1_hash, retHash); verify(sectionsSplitter).splitToSectionsDetailed(organizationName); verify(sectionHasher).hash(section1); }","public String hash(String organizationName) { List<OrganizationSection> sections = sectionsSplitter.splitToSectionsDetailed(organizationName); if (sections.isEmpty()) { return """"; } OrganizationSection mainSection = pickMainSection(sections); return sectionHasher.hash((mainSection != null) ? mainSection : pickFallbackSection(sections)); }",CLEAN,CLEAN,CLEAN
"@Test(expectedExceptions = IllegalArgumentException.class) public void shouldThrowExceptionIfValidationFailedForParam() throws UnsupportedEncodingException { Map<String, String> parameters = new HashMap<String, String>() {{ put(""0123456789012345678901234567890123456789"", ""value""); }}; eventLogger.log(EventLogger.IDE_USAGE, parameters); }","public void log(String event, Map<String, String> parameters) throws UnsupportedEncodingException { if (event != null && ALLOWED_EVENTS.contains(event)) { if (event.equals(DASHBOARD_USAGE)) { parameters.put(EventLogger.SOURCE_PARAM, EventLogger.DASHBOARD_SOURCE); } validate(parameters); String message = createMessage(event, parameters); if (!offerEvent(message)) { if (ignoredEvents++ % 1000 == 0) { LOG.warn(""Ignored "" + ignoredEvents + "" events due to maximum queue capacity""); } } } }",CLEAN,CLEAN,CLEAN
"@Override @Test public void testSum() throws Exception { MemoryMetrics a = createMemoryMetrics(1); MemoryMetrics b = createMemoryMetrics(2); MemoryMetrics sum = new MemoryMetrics(); MemoryMetricsCollector collector = new MemoryMetricsCollector(); collector.enable(); collector.getSnapshot(a); collector.getSnapshot(b); sum = b.sum(a, sum); assertThat(sum.sequenceNumber).isEqualTo(b.sequenceNumber); assertThat(sum.javaHeapMaxSizeKb).isEqualTo(b.javaHeapMaxSizeKb); assertThat(sum.javaHeapAllocatedKb).isEqualTo(b.javaHeapAllocatedKb); assertThat(sum.nativeHeapSizeKb).isEqualTo(b.nativeHeapSizeKb); assertThat(sum.nativeHeapAllocatedKb).isEqualTo(b.nativeHeapAllocatedKb); assertThat(sum.vmSizeKb).isEqualTo(b.vmSizeKb); assertThat(sum.vmRssKb).isEqualTo(b.vmRssKb); sum = a.sum(b, null); assertThat(sum.sequenceNumber).isEqualTo(b.sequenceNumber); assertThat(sum.javaHeapMaxSizeKb).isEqualTo(b.javaHeapMaxSizeKb); assertThat(sum.javaHeapAllocatedKb).isEqualTo(b.javaHeapAllocatedKb); assertThat(sum.nativeHeapSizeKb).isEqualTo(b.nativeHeapSizeKb); assertThat(sum.nativeHeapAllocatedKb).isEqualTo(b.nativeHeapAllocatedKb); assertThat(sum.vmSizeKb).isEqualTo(b.vmSizeKb); assertThat(sum.vmRssKb).isEqualTo(b.vmRssKb); }","public MemoryMetrics sum(@Nullable MemoryMetrics b, @Nullable MemoryMetrics output) { if (output == null) { output = new MemoryMetrics(); } if (b == null) { output.set(this); } else { MemoryMetrics latest = sequenceNumber > b.sequenceNumber ? this : b; output.sequenceNumber = latest.sequenceNumber; output.javaHeapMaxSizeKb = latest.javaHeapMaxSizeKb; output.javaHeapAllocatedKb = latest.javaHeapAllocatedKb; output.nativeHeapSizeKb = latest.nativeHeapSizeKb; output.nativeHeapAllocatedKb = latest.nativeHeapAllocatedKb; output.vmSizeKb = latest.vmSizeKb; output.vmRssKb = latest.vmRssKb; } return output; }",CLEAN,CLEAN,CLEAN
