target,src_fm
"@Test public void convertToCitation() { MatchableEntity citationEntity = MatchableEntity.fromParameters(""cit_someId1_4"", ""John Doe"", null, ""Some Title"", null, null, null); IdWithSimilarity docIdWithSimilarity = new IdWithSimilarity(""doc_someId2"", 0.786); Citation actualCitation = converter.convertToCitation(citationEntity, docIdWithSimilarity); Citation expectedCitation = Citation.newBuilder() .setSourceDocumentId(""someId1"") .setDestinationDocumentId(""someId2"") .setPosition(4) .setConfidenceLevel(0.786F) .build(); assertEquals(expectedCitation, actualCitation); }","public Citation convertToCitation(MatchableEntity citationEntity, IdWithSimilarity docIdWithSimilarity) { CitEntityId citEntityId = CitEntityId.parseFrom(citationEntity.id()); DocEntityId docEntityId = DocEntityId.parseFrom(docIdWithSimilarity.getId()); Citation cit = new Citation(); cit.setSourceDocumentId(citEntityId.getSourceDocumentId()); cit.setPosition(citEntityId.getPosition()); cit.setDestinationDocumentId(docEntityId.getDocumentId()); cit.setConfidenceLevel((float)docIdWithSimilarity.getSimilarity()); return cit; }"
"@Test public void testHaveEqualSchema() { assertTrue(CollapserUtils.haveEqualSchema(null)); assertTrue(CollapserUtils.haveEqualSchema(new ArrayList<IndexedRecord>())); assertTrue(CollapserUtils.haveEqualSchema( Lists.newArrayList((IndexedRecord)SampleData.envMetadataRecord11, SampleData.envMetadataRecord12))); assertFalse(CollapserUtils.haveEqualSchema( Lists.newArrayList((IndexedRecord)SampleData.envMetadataRecord11, SampleData.envMetadataRecord12, SampleData.envTextRecord))); }",public static boolean haveEqualSchema(Collection<IndexedRecord> records) { if (records == null || records.isEmpty()) { return true; } Schema schema = records.iterator().next().getSchema(); for (IndexedRecord record : records) { if (!schema.equals(record.getSchema())) { return false; } } return true; }
"@Test public void metricPusherShouldPushSafeUsingPushGateway() throws IOException { PushGatewayPusherCreator pushGatewayPusherCreator = new PushGatewayPusherCreator(); PushGateway pushGateway = mock(PushGateway.class); Map<String, String> groupingKey = Collections.emptyMap(); pushGatewayPusherCreator.create(() -> pushGateway).pushSafe(mock(CollectorRegistry.class), ""job"", groupingKey); verify(pushGateway, times(1)).push(any(CollectorRegistry.class), eq(""job""), eq(groupingKey)); }","public MetricPusher create(String address) { Supplier<PushGateway> pushGatewaySupplier = () -> { try { return new PushGateway(address); } catch (Exception e) { logger.error(""PushGateway creation failed."", e); return null; } }; return create(pushGatewaySupplier); }"
"@Test(expected = IllegalArgumentException.class) public void convert_blank_project_id() { converter.convert(new DocumentToProject(docId, "" "", 1f, null)); }","public AffMatchDocumentProject convert(DocumentToProject documentProject) { Preconditions.checkNotNull(documentProject); Preconditions.checkArgument(StringUtils.isNotBlank(documentProject.getDocumentId())); Preconditions.checkArgument(StringUtils.isNotBlank(documentProject.getProjectId())); Preconditions.checkArgument(documentProject.getConfidenceLevel() >= 0 && documentProject.getConfidenceLevel() <= 1); return new AffMatchDocumentProject(documentProject.getDocumentId().toString(), documentProject.getProjectId().toString(), documentProject.getConfidenceLevel()); }"
"@Test(expected = IllegalArgumentException.class) public void convert_blank_document_id() { converter.convert(new DocumentToProject("" "", projId, 1f, null)); }","public AffMatchDocumentProject convert(DocumentToProject documentProject) { Preconditions.checkNotNull(documentProject); Preconditions.checkArgument(StringUtils.isNotBlank(documentProject.getDocumentId())); Preconditions.checkArgument(StringUtils.isNotBlank(documentProject.getProjectId())); Preconditions.checkArgument(documentProject.getConfidenceLevel() >= 0 && documentProject.getConfidenceLevel() <= 1); return new AffMatchDocumentProject(documentProject.getDocumentId().toString(), documentProject.getProjectId().toString(), documentProject.getConfidenceLevel()); }"
"@Test public void testExtractValues() { FieldApprover notNullDataInfoFieldApprover = Objects::nonNull; DataInfo dataInfo = new DataInfo(); Collection<StructuredProperty> source = Lists.newArrayList(); String validValue = ""someValue""; source.add(generateStructuredProperty(validValue, dataInfo)); source.add(generateStructuredProperty(null, dataInfo)); source.add(generateStructuredProperty("""", dataInfo)); source.add(generateStructuredProperty(""toBeRejectedBecauseOfNullDataInfo"", null)); List<String> results = MetadataConverterUtils.extractValues(source, notNullDataInfoFieldApprover); assertNotNull(results); assertEquals(1, results.size()); assertEquals(validValue, results.get(0)); }","public static List<String> extractValues(Collection<StructuredProperty> source, FieldApprover fieldApprover) { return source.stream() .filter(x -> fieldApprover.approve(x.getDataInfo())) .map(StructuredProperty::getValue) .filter(StringUtils::isNotBlank) .collect(Collectors.toList()); }"
@Test public void testExtractResultIdNullInput() throws Exception { String objectId = null; String extractedResultId = ObjectStoreContentProviderUtils.extractResultIdFromObjectId(objectId); assertNull(extractedResultId); },"public static String extractResultIdFromObjectId(String objectId) { if (objectId!=null && objectId.indexOf(objectIdSeparator)>0) { StringBuffer strBuff = new StringBuffer(); strBuff.append(InfoSpaceConstants.ROW_PREFIX_RESULT); String[] split = objectId.split(objectIdSeparator); if (split.length>=2) { strBuff.append(split[0]); strBuff.append(objectIdSeparator); strBuff.append(split[1]); return strBuff.toString(); } else { throw new RuntimeException(""invalid object identifier: ""); } } else { return null; } }"
"@Test public void testExtractValuesForEmptySource() { List<String> results = MetadataConverterUtils.extractValues(Lists.newArrayList(), mock(FieldApprover.class)); assertNotNull(results); assertTrue(results.isEmpty()); }","public static List<String> extractValues(Collection<StructuredProperty> source, FieldApprover fieldApprover) { return source.stream() .filter(x -> fieldApprover.approve(x.getDataInfo())) .map(StructuredProperty::getValue) .filter(StringUtils::isNotBlank) .collect(Collectors.toList()); }"
"@Test public void convert() { AffMatchDocumentProject result = converter.convert(new DocumentToProject(docId, projId, confidenceLevel, null)); assertEquals(docId, result.getDocumentId()); assertEquals(projId, result.getProjectId()); assertEquals(confidenceLevel, result.getConfidenceLevel(), 0); }","public AffMatchDocumentProject convert(DocumentToProject documentProject) { Preconditions.checkNotNull(documentProject); Preconditions.checkArgument(StringUtils.isNotBlank(documentProject.getDocumentId())); Preconditions.checkArgument(StringUtils.isNotBlank(documentProject.getProjectId())); Preconditions.checkArgument(documentProject.getConfidenceLevel() >= 0 && documentProject.getConfidenceLevel() <= 1); return new AffMatchDocumentProject(documentProject.getDocumentId().toString(), documentProject.getProjectId().toString(), documentProject.getConfidenceLevel()); }"
@Test(expected = NullPointerException.class) public void convert_null() { converter.convert(null); },"public AffMatchProjectOrganization convert(ProjectToOrganization projectOrganization) { Preconditions.checkNotNull(projectOrganization); Preconditions.checkArgument(StringUtils.isNotBlank(projectOrganization.getProjectId())); Preconditions.checkArgument(StringUtils.isNotBlank(projectOrganization.getOrganizationId())); return new AffMatchProjectOrganization(projectOrganization.getProjectId().toString(), projectOrganization.getOrganizationId().toString()); }"
"@Test(expected = NullPointerException.class) public void report_NULL_REPORT_PATH() { counterReporter.report(sparkContext, uniqueEntities, uniqueRelations, null); }","public void report(JavaSparkContext sparkContext, JavaRDD<?> uniqueEntities, JavaRDD<Tuple3<String, String, Float>> uniqueRelations, String outputReportPath) { Preconditions.checkNotNull(outputReportPath, ""reportPath has not been set""); Preconditions.checkNotNull(sparkContext, ""sparkContext has not been set""); ReportEntry totalEntitiesCounter = ReportEntryFactory.createCounterReportEntry(EXPORTED_SOFTWARE_ENTITIES_COUNTER, uniqueEntities.count()); ReportEntry totalRelationsCounter = ReportEntryFactory.createCounterReportEntry(SOFTWARE_REFERENCES_COUNTER, uniqueRelations.count()); ReportEntry distinctPubsCounter = generateDistinctPublicationsCounter(uniqueRelations); JavaRDD<ReportEntry> report = sparkContext.parallelize(Lists.newArrayList( totalEntitiesCounter, totalRelationsCounter, distinctPubsCounter), 1); avroSaver.saveJavaRDD(report, ReportEntry.SCHEMA$, outputReportPath); }"
"@Test public void givenPathToResource_whenGetResourceInputStreamReaderIsCalled_thenInputStreamReaderIsReturned() { String content = new BufferedReader( getResourceReader(""eu/dnetlib/iis/common/data/@a/static-resource-file.txt"")) .lines() .collect(Collectors.joining(""\n"")); assertEquals(""This is a static resource file."", content); }","public static InputStreamReader getResourceReader(String location) { return new InputStreamReader(getResourceInputStream(location), StandardCharsets.UTF_8); }"
"@Test public void testParseWebcrawlWithFunding() throws Exception { String filePath = ""/eu/dnetlib/iis/wf/ingest/webcrawl/fundings/data/wos_with_funding.xml""; try (InputStream inputStream = ClassPathResourceProvider.getResourceInputStream(filePath)) { saxParser.parse(inputStream, handler); } assertEquals(""This work was funded by EU"", handler.getFundingText()); }",public CharSequence getFundingText() { if (fundingText.length()>0) { return fundingText.toString(); } else { return null; } }
"@Test(expected = IllegalArgumentException.class) public void matchAffiliations_inputOrgPath_blank() { affMatchingService.matchAffiliations(sc, inputAffPath, "" "", outputPath, outputReportPath); }","public void matchAffiliations(JavaSparkContext sc, String inputAffPath, String inputOrgPath, String outputPath, String outputReportPath) { checkArguments(sc, inputAffPath, inputOrgPath, outputPath); checkState(); JavaRDD<AffMatchAffiliation> affiliations = affiliationReader.readAffiliations(sc, inputAffPath); JavaRDD<AffMatchOrganization> organizations = organizationReader.readOrganizations(sc, inputOrgPath); JavaRDD<AffMatchAffiliation> normalizedAffiliations = affiliations.map(aff -> affMatchAffiliationNormalizer.normalize(aff)).filter(aff -> (StringUtils.isNotBlank(aff.getOrganizationName()))); JavaRDD<AffMatchOrganization> normalizedOrganizations = organizations.map(org -> affMatchOrganizationNormalizer.normalize(org)).filter(org -> (StringUtils.isNotBlank(org.getName()))); JavaRDD<AffMatchOrganization> enrichedOrganizations = normalizedOrganizations.map(x -> affMatchOrganizationAltNameFiller.fillAlternativeNames(x)); JavaRDD<AffMatchResult> allMatchedAffOrgs = doMatch(sc, normalizedAffiliations, enrichedOrganizations); affMatchResultWriter.write(sc, allMatchedAffOrgs, outputPath, outputReportPath, numberOfEmittedFiles); }"
"@Test(expected = NullPointerException.class) public void recalculateMatchStrength_voter_null() { recalculator.recalculateMatchStrength(affMatchResult, null); }","public AffMatchResult recalculateMatchStrength(AffMatchResult affMatchResult, AffOrgMatchVoter voter) { Preconditions.checkNotNull(affMatchResult); Preconditions.checkNotNull(voter); float matchStrength = affMatchResult.getMatchStrength(); if (voter.voteMatch(affMatchResult.getAffiliation(), affMatchResult.getOrganization())) { matchStrength = (matchStrength + voter.getMatchStrength()) - matchStrength * voter.getMatchStrength(); } return new AffMatchResult(affMatchResult.getAffiliation(), affMatchResult.getOrganization(), matchStrength); }"
"@Test public void testSetCountersEnabled() throws Exception { Configuration conf = new Configuration(); doReturn(conf).when(job).getConfiguration(); AvroMultipleOutputs.setCountersEnabled(job, true); assertTrue(conf.getBoolean(COUNTERS_ENABLED, false)); }","public static void setCountersEnabled(Job job, boolean enabled) { job.getConfiguration().setBoolean(COUNTERS_ENABLED, enabled); }"
"@Test public void testGetIntegerParamValueMissing() throws Exception { String paramName = ""paramName1""; Integer result = WorkflowRuntimeParameters.getIntegerParamValue(paramName, configuration); assertNull(result); }","public static Integer getIntegerParamValue(String paramName, Configuration configuration) throws NumberFormatException { String paramValue = getParamValue(paramName, configuration); return paramValue!=null?Integer.valueOf(paramValue):null; }"
"@Test public void testGetParamValue() throws Exception { String paramName = ""paramName1""; String paramValue = ""paramValue1""; configuration.set(paramName, paramValue); String result = WorkflowRuntimeParameters.getParamValue(paramName, configuration); assertEquals(paramValue, result); }","public static String getParamValue(String paramName, Configuration configuration) { String paramValue = configuration.get(paramName); if (StringUtils.isNotBlank(paramValue) && !UNDEFINED_NONEMPTY_VALUE.equals(paramValue)) { return paramValue; } else { return null; } }"
"@Test(expected = IOException.class) public void testStoreInCacheByCheckingProperLocksHandlingWhenWriteCacheThrowsException() throws Exception { Path cacheRootDir = new Path(""some/root/dir""); int numberOfEmittedFiles = 2; String predefinedCacheId = ""someCacheId""; doReturn(predefinedCacheId).when(cacheManager).generateNewCacheId(hadoopConf, cacheRootDir); doReturn(FileSystem.DEFAULT_FS).when(hadoopConf).get(FileSystem.FS_DEFAULT_NAME_KEY, FileSystem.DEFAULT_FS); doReturn(toBeStoredRepartitionedEntities).when(toBeStoredEntities).repartition(numberOfEmittedFiles); doReturn(toBeStoredRepartitionedFaults).when(toBeStoredFaults).repartition(numberOfEmittedFiles); doThrow(IOException.class).when(cacheManager).writeCacheId(hadoopConf, cacheRootDir, predefinedCacheId); try { DocumentTextCacheStorageUtils.storeInCache(avroSaver, toBeStoredEntities, toBeStoredFaults, cacheRootDir, lockManager, cacheManager, hadoopConf, numberOfEmittedFiles); } catch (Exception e) { verify(lockManager, times(1)).obtain(cacheRootDir.toString()); verify(lockManager, times(1)).release(cacheRootDir.toString()); throw e; } }","public static void storeInCache(SparkAvroSaver avroSaver, JavaRDD<DocumentText> toBeStoredEntities, JavaRDD<Fault> toBeStoredFaults, Path cacheRootDir, LockManager lockManager, CacheMetadataManagingProcess cacheManager, Configuration hadoopConf, int numberOfEmittedFiles) throws Exception { lockManager.obtain(cacheRootDir.toString()); try { String newCacheId = cacheManager.generateNewCacheId(hadoopConf, cacheRootDir); try { avroSaver.saveJavaRDD(toBeStoredEntities.repartition(numberOfEmittedFiles), DocumentText.SCHEMA$, getCacheLocation(cacheRootDir, newCacheId, CacheRecordType.text).toString()); avroSaver.saveJavaRDD(toBeStoredFaults.repartition(numberOfEmittedFiles), Fault.SCHEMA$, getCacheLocation(cacheRootDir, newCacheId, CacheRecordType.fault).toString()); cacheManager.writeCacheId(hadoopConf, cacheRootDir, newCacheId); } catch(Exception e) { FileSystem.get(hadoopConf).delete(new Path(cacheRootDir, newCacheId), true); throw e; } } finally { lockManager.release(cacheRootDir.toString()); } }"
"@Test public void hash_unknown_section() { OrganizationSection section = new OrganizationSection(OrgSectionType.UNKNOWN, new String[] {""medical"", ""college"", ""school""}, -1); assertEquals(""UNKcolmed"", orgSectionHasher.hash(section)); }",public String hash(OrganizationSection section) { if (section.getTypeSignificantWordPos() == -1) { return hashUsingFirstWords(section); } return hashUsingAdjacentWords(section); }
"@Test public void hash_university_section() { OrganizationSection section = new OrganizationSection(OrgSectionType.UNIVERSITY, new String[] {""medical"", ""university"", ""toronto""}, 1); assertEquals(""UNImedtor"", orgSectionHasher.hash(section)); }",public String hash(OrganizationSection section) { if (section.getTypeSignificantWordPos() == -1) { return hashUsingFirstWords(section); } return hashUsingAdjacentWords(section); }
"@Test public void givenPathToResource_whenGetResourcePathIsCalled_thenProperPathIsReturned() { String location = ""eu/dnetlib/iis/common/data/@a/static-resource-file.txt""; assertThat(getResourcePath(location), endsWith(location)); }",public static String getResourcePath(String location) { try { return new ClassPathResource(location).getURI().getPath(); } catch (IOException e) { throw new RuntimeException(e); } }
"@Test public void testBuildHttpClient() throws Exception { int connectionTimeout = 1; int readTimeout = 2; CloseableHttpClient client = HttpClientUtils.buildHttpClient(connectionTimeout, readTimeout); assertNotNull(client); }","public static CloseableHttpClient buildHttpClient(int connectionTimeout, int readTimeout) { HttpClientBuilder httpClientBuilder = HttpClientBuilder.create(); httpClientBuilder.setDefaultRequestConfig(RequestConfig.custom().setConnectTimeout(connectionTimeout) .setConnectionRequestTimeout(connectionTimeout).setSocketTimeout(readTimeout).build()); return httpClientBuilder.build(); }"
"@Test public void testGetNextLinkFromHeaderNullOrBlank() throws Exception { assertNull(SoftwareHeritageOriginsImporter.getNextLinkFromHeader(null)); assertNull(SoftwareHeritageOriginsImporter.getNextLinkFromHeader("""")); }","protected static String getNextLinkFromHeader(String linkHeader) { if (StringUtils.isNotBlank(linkHeader)) { String[] links = linkHeader.split(DELIM_LINKS); for (String link : links) { String[] segments = link.split(DELIM_LINK_PARAM); if (segments.length < 2) continue; String linkPart = segments[0].trim(); if (!linkPart.startsWith(""<"") || !linkPart.endsWith("">"")) { continue; } linkPart = linkPart.substring(1, linkPart.length() - 1); for (int i = 1; i < segments.length; i++) { String[] rel = segments[i].trim().split(""=""); if (rel.length < 2 || !META_REL.equals(rel[0])) { continue; } String relValue = rel[1]; if (relValue.startsWith(""\"""") && relValue.endsWith(""\"""")) { relValue = relValue.substring(1, relValue.length() - 1); } if (META_NEXT.equals(relValue)) { return linkPart; } } } } return null; }"
@Test public void createNameMainSectionHashBucketMatcherVoters() { List<AffOrgMatchVoter> voters = MainSectionHashBucketMatcherFactory.createNameMainSectionHashBucketMatcherVoters(); assertNameMainSectionHashBucketMatcherVoters(voters); },"public static ImmutableList<AffOrgMatchVoter> createNameMainSectionHashBucketMatcherVoters() { return ImmutableList.of( createNameCountryStrictMatchVoter(0.981f, new GetOrgNameFunction()), createNameStrictCountryLooseMatchVoter(0.966f, new GetOrgNameFunction()), createSectionedNameStrictCountryLooseMatchVoter(0.988f, new GetOrgNameFunction()), createSectionedNameLevenshteinCountryLooseMatchVoter(0.983f, new GetOrgNameFunction()), createSectionedNameStrictCountryLooseMatchVoter(0.937f, new GetOrgShortNameFunction()) ); }"
"@Test(expected = IllegalArgumentException.class) public void parse_sourceCounter_INVALID_PLACEHOLDER() { reportPigCounterMappingParser.parse(""destination.report.counter"", ""jobAlias.COUNTER_NAME""); }","public ReportPigCounterMapping parse(String destReportCounter, String sourcePigCounterName) { Preconditions.checkNotNull(destReportCounter); Preconditions.checkNotNull(sourcePigCounterName); Matcher placeholderMatcher = PIG_COUNTER_PLACEHOLDER_PATTERN.matcher(sourcePigCounterName); if (!placeholderMatcher.matches()) { throw new IllegalArgumentException(""invalid pig counter placeholder:"" + sourcePigCounterName); } String[] placeholderValues = StringUtils.split(placeholderMatcher.group(1), PLACEHOLDER_VALUES_SEPARATOR); if (placeholderValues.length == 1) { return new ReportPigCounterMapping(placeholderValues[0], null, destReportCounter); } if (placeholderValues.length == 2) { String alias = placeholderValues[0]; String counterName = placeholderValues[1]; return new ReportPigCounterMapping(counterName, alias, destReportCounter); } throw new IllegalArgumentException(""Invalid placeholder, to many levels (dots): "" + placeholderMatcher.group(1)); }"
"@Test public void testGetParameterValueUndefined() throws Exception { assertNull(ProcessUtils.getParameterValue(paramName, null, null)); assertNull(ProcessUtils.getParameterValue(paramName, hadoopConf, parameters)); }","public static String getParameterValue(String paramName, Configuration hadoopConf, Map<String, String> parameters) { if (parameters!=null && !parameters.isEmpty()) { String result = null; result = parameters.get(paramName); if (result!=null) { return result; } } if (hadoopConf!=null) { return hadoopConf.get(paramName); } else { return null; } }"
"@Test public void testBuildCredential() { String key = ""someKey""; String secret = ""someSecret""; String credential = OpenPatentWebServiceFacadeFactory.buildCredential(key, secret); assertNotNull(credential); assertEquals(Base64.getEncoder().encodeToString((key+':'+secret).getBytes(StandardCharsets.UTF_8)), credential); }","protected static String buildCredential(String key, String secret) { return Base64.getEncoder().encodeToString((key + ':' + secret).getBytes(DEFAULT_CHARSET)); }"
"@Test public void testParseWebcrawlWithoutFunding() throws Exception { String filePath = ""/eu/dnetlib/iis/wf/ingest/webcrawl/fundings/data/wos_without_funding.xml""; try (InputStream inputStream = ClassPathResourceProvider.getResourceInputStream(filePath)) { saxParser.parse(inputStream, handler); } assertNull(handler.getFundingText()); }",public CharSequence getFundingText() { if (fundingText.length()>0) { return fundingText.toString(); } else { return null; } }
"@Test public void convert_null_aff_properties() { ExtractedDocumentMetadata document = new ExtractedDocumentMetadata(); document.setId(""XYZ""); Affiliation aff1 = createAffiliation(null, null, null); List<Affiliation> affiliations = Lists.newArrayList(aff1); document.setAffiliations(affiliations); document.setAuthors(Lists.newArrayList(createAuthor(""author1"", 0))); List<AffMatchAffiliation> affMatchAffiliations = converter.convert(document); assertNotNull(affMatchAffiliations); assertAffiliation(affMatchAffiliations.get(0), ""XYZ"", 1, """", """", """"); }","public List<AffMatchAffiliation> convert(ExtractedDocumentMetadata document) { Preconditions.checkNotNull(document); Preconditions.checkArgument(StringUtils.isNotBlank(document.getId())); List<AffMatchAffiliation> affMatchAffiliations = new ArrayList<>(); if (CollectionUtils.isEmpty(document.getAffiliations())) { return affMatchAffiliations; } for (int i = 0; i < document.getAffiliations().size(); i++) { Affiliation srcAffiliation = document.getAffiliations().get(i); if (isAuthorAffiliation(i, document.getAuthors())) { affMatchAffiliations.add(convertAffiliation(document.getId(), i + 1, srcAffiliation)); } } return affMatchAffiliations; }"
"@Test(expected = IllegalArgumentException.class) public void resolveReportCounters_jobLevelCounter_NON_EXISTENT_COUNTER_NAME() { ReportPigCounterMapping counterMapping = new ReportPigCounterMapping(""NON_EXISTENT_COUNTER_NAME"", ""jobAlias1"", ""destination.report.param1""); reportPigCountersResolver.resolveReportCounters(pigCounters, Lists.newArrayList(counterMapping)); }","public List<ReportEntry> resolveReportCounters(PigCounters pigCounters, List<ReportPigCounterMapping> reportPigCountersMappings) { List<ReportEntry> reportCounters = Lists.newArrayList(); for (ReportPigCounterMapping counterMapping : reportPigCountersMappings) { String counterValue = extractCounterValue(pigCounters, counterMapping); ReportEntry reportEntry = ReportEntryFactory.createCounterReportEntry(counterMapping.getDestReportCounterName(), Long.valueOf(counterValue)); reportCounters.add(reportEntry); } return reportCounters; }"
"@Test(expected = NullPointerException.class) public void recalculateStrength_NULL_FIRST_MATCHED_ORG() { strengthRecalculator.recalculateStrength(null, matchedOrganization2); }","public MatchedOrganization recalculateStrength(MatchedOrganization match1, MatchedOrganization match2) { Preconditions.checkNotNull(match1); Preconditions.checkNotNull(match2); Preconditions.checkArgument(match1.getDocumentId().equals(match2.getDocumentId())); Preconditions.checkArgument(match1.getOrganizationId().equals(match2.getOrganizationId())); float remainingMatchStrength = 1 - match1.getMatchStrength(); float newMatchStrength = match1.getMatchStrength() + (remainingMatchStrength * match2.getMatchStrength()); return new MatchedOrganization(match1.getDocumentId(), match1.getOrganizationId(), newMatchStrength); }"
"@Test public void testMerge() { SampleData.assertEqualRecords( SampleData.mergedRecord1112, CollapserUtils.merge(SampleData.metadataRecord11, SampleData.metadataRecord12)); SampleData.assertEqualRecords( SampleData.mergedRecord2221, CollapserUtils.merge(SampleData.metadataRecord22, SampleData.metadataRecord21)); }","public static <T extends IndexedRecord> T merge(T base, T update) { T ret = GenericData.get().deepCopy(base.getSchema(), base); for (Field field: base.getSchema().getFields()) { if (base.get(field.pos()) == null && update.get(field.pos()) != null) { ret.put(field.pos(), update.get(field.pos())); } } return ret; }"
"@Test public void extractExternalIdReferences() throws Exception { doReturn(externalIdReferencesRdd).when(docMetadataRdd).flatMapToPair(any()); JavaPairRDD<String, Citation> retExternalIdReferencesRdd = externalIdReferenceExtractor.extractExternalIdReferences(docMetadataRdd, ""someIdType""); assertSame(retExternalIdReferencesRdd, externalIdReferencesRdd); verify(docMetadataRdd).flatMapToPair(flatMapCitationsFunctionArg.capture()); assertFlatMapCitationsFunction(flatMapCitationsFunctionArg.getValue()); }","public JavaPairRDD<String, Citation> extractExternalIdReferences(JavaRDD<DocumentMetadata> documentsMetadata, String idType) { Preconditions.checkNotNull(documentsMetadata); Preconditions.checkNotNull(idType); return documentsMetadata .flatMapToPair(metadata -> { List<Tuple2<String, Citation>> externalIdReferences = Lists.newArrayList(); for (ReferenceMetadata referenceMetadata : metadata.getReferences()) { if (referenceMetadata.getExternalIds() == null || !referenceMetadata.getExternalIds().containsKey(idType)) { continue; } String externalId = referenceMetadata.getExternalIds().get(idType).toString(); Citation partialCitation = new Citation(metadata.getId(), referenceMetadata.getPosition(), null); externalIdReferences.add(new Tuple2<>(externalId, partialCitation)); } return externalIdReferences.iterator(); }); }"
